MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT,MONTH_DATE,PAID_AMOUNT_LOG
201801,AncillaryFFS,ACH,Payer W,151,2018-01-01,5.017279836814924
201801,AncillaryFFS,ADVANCED RN PRACT,Payer CA,443,2018-01-01,6.093569770045136
201801,AncillaryFFS,AMBULANCE,Payer CA,14890,2018-01-01,9.608445125678054
201801,AncillaryFFS,AMBULANCE,Payer CO,1722,2018-01-01,7.451241684987676
201801,AncillaryFFS,AMBULANCE,Payer F,36108,2018-01-01,10.494269726418045
201801,AncillaryFFS,AMBULANCE,Payer H,7206,2018-01-01,8.882669291308039
201801,AncillaryFFS,AMBULANCE,Payer O,6000,2018-01-01,8.699514748210191
201801,AncillaryFFS,AMBULANCE,Payer S,1024,2018-01-01,6.931471805599453
201801,AncillaryFFS,AMBULANCE,Payer W,2143,2018-01-01,7.669961995473577
201801,AncillaryFFS,AMBULANCE SERVICE,Payer B,406,2018-01-01,6.0063531596017325
201801,AncillaryFFS,AMBULATORY SURGICAL CENTER,Payer W,2212,2018-01-01,7.701652362642226
201801,AncillaryFFS,AMBULATORY TRANSPORTATION SERVICES,Payer UN,1623,2018-01-01,7.392031567514591
201801,AncillaryFFS,ANATOM,Payer W,73,2018-01-01,4.290459441148391
201801,AncillaryFFS,ANESTHESIOLOGY,Payer F,538,2018-01-01,6.2878585601617845
201801,AncillaryFFS,ARNP,Payer CA,835,2018-01-01,6.727431724850855
201801,AncillaryFFS,BEHAVIORAL HEALTH COUNSELING,Payer W,64,2018-01-01,4.1588830833596715
201801,AncillaryFFS,CARD ELECTROPHYSIOLO,Payer CA,45,2018-01-01,3.8066624897703196
201801,AncillaryFFS,CARDIAC ELECTROPHYSIOLOGY,Payer W,255,2018-01-01,5.541263545158426
201801,AncillaryFFS,CARDIOLOGY,Payer CA,197,2018-01-01,5.2832037287379885
201801,AncillaryFFS,CARDIOLOGY,Payer F,3212,2018-01-01,8.074649075066652
201801,AncillaryFFS,CARDIOLOGY,Payer O,1069,2018-01-01,6.974478911025045
201801,AncillaryFFS,CARDIOLOGY,Payer UN,250,2018-01-01,5.521460917862246
201801,AncillaryFFS,CARDIOLOGY,Payer W,375,2018-01-01,5.926926025970411
201801,AncillaryFFS,CARDIOVASCULAR MEDICINE,Payer S,36,2018-01-01,3.58351893845611
201801,AncillaryFFS,CARDIOVASCULAR SURGERY,Payer CA,757,2018-01-01,6.6293632534374485
201801,AncillaryFFS,CCS,Payer CO,205,2018-01-01,5.3230099791384085
201801,AncillaryFFS,CLINICAL MEDICAL LABORATORY,Payer S,678,2018-01-01,6.519147287940395
201801,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER,Payer W,77,2018-01-01,4.343805421853684
201801,AncillaryFFS,COMMUNITY MENTAL HEALTH CENTER/OTHER REHAB CENTER,Payer F,1876,2018-01-01,7.53689712956617
201801,AncillaryFFS,CONV CARE CLINIC,Payer W,49,2018-01-01,3.8918202981106265
201801,AncillaryFFS,CRITICAL ACCESS,Payer W,1053,2018-01-01,6.959398512133975
201801,AncillaryFFS,CSW,Payer W,57,2018-01-01,4.04305126783455
201801,AncillaryFFS,DEFAULT,Payer F,915,2018-01-01,6.818924065275521
201801,AncillaryFFS,DEFAULT,Payer O,2400,2018-01-01,7.783224016336037
201801,AncillaryFFS,DERMATOLOGY,Payer CA,153,2018-01-01,5.030437921392435
201801,AncillaryFFS,DERMATOLOGY,Payer CO,100,2018-01-01,4.605170185988092
201801,AncillaryFFS,DERMATOLOGY,Payer UN,154,2018-01-01,5.0369526024136295
201801,AncillaryFFS,DERMATOLOGY,Payer W,220,2018-01-01,5.393627546352362
201801,AncillaryFFS,DERMATOPATHOLOGY,Payer F,342,2018-01-01,5.834810737062605
201801,AncillaryFFS,DIABETES EDUCATOR,Payer CA,557,2018-01-01,6.322565239927284
201801,AncillaryFFS,DIAG X-RAY CLINIC,Payer H,439,2018-01-01,6.0844994130751715
201801,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CA,811,2018-01-01,6.698268054115413
201801,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CO,14,2018-01-01,2.6390573296152584
201801,AncillaryFFS,DIAGNOSTICS,Payer UN,93,2018-01-01,4.532599493153256
201801,AncillaryFFS,DIAL,Payer CO,1265,2018-01-01,7.142827401161621
201801,AncillaryFFS,DIALYSIS,Payer CA,8776,2018-01-01,9.079776001955066
201801,AncillaryFFS,DIALYSIS,Payer S,4094,2018-01-01,8.317277766221235
201801,AncillaryFFS,DIALYSIS,Payer W,4557,2018-01-01,8.424419791263883
201801,AncillaryFFS,DIALYSIS CENTER,Payer H,1540,2018-01-01,7.3395376954076745
201801,AncillaryFFS,DISEASE MANAGEMENT,Payer CA,1777,2018-01-01,7.482681828154651
201801,AncillaryFFS,"DME & MEDICAL SUPPLIES, OXYGEN EQUIP & SUPPLIES",Payer S,494,2018-01-01,6.202535517187923
201801,AncillaryFFS,DURABLE MED EQUIPMENT,Payer CO,5187,2018-01-01,8.553910774351401
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer B,1546,2018-01-01,7.343426229147367
201801,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer CA,6575,2018-01-01,8.791029857045965
